,name,price,ratings,image
69,Galaxy Hi-Tech Plastic 3 in 1 Mini Portable Realistic Miniature Chefs Pretend Play Kitchen Cooking Set for Boys and Girls - Pink,Rs. 879,4.0 out of 5 stars,https://m.media-amazon.com/images/I/71KK34GN1UL._AC_UL320_.jpg
70,"DecorDen Wooden Natural Cooking Spoon, Ladles & Turning Spatulas Handmade Wooden Non-Stick Serving and Cooking Spoon Kitchen Tools Utensil, Set of 6 (Sheesham Wood, Set of 6)",Rs. 449,3.6 out of 5 stars,https://m.media-amazon.com/images/I/61nibBa50xL._AC_UL320_.jpg
71,CBK Silicon Heat Resistant Oil Brush with Spatula for Pastry Baking Cooking Grilling Easy and Durable (Multi Color),Rs. 99,3.7 out of 5 stars,https://m.media-amazon.com/images/I/51G-OxG5yuS._AC_UL320_.jpg
72,Mforall 6 Pcs/Set Nylon Heat-Resistant Nonstick Spoon Spatula Turner Scoop Kitchen Cooking Utensil Tools Set,Rs. 299,2.8 out of 5 stars,https://m.media-amazon.com/images/I/41MfhIiVvCL._AC_UL320_.jpg
73,"Craft Expertise Wooden Natural Cooking Spoons With Cutlery Holder Set Of 7 Spoons, Brown",Rs. 499,5.0 out of 5 stars,https://m.media-amazon.com/images/I/71IPuZbCfLS._AC_UL320_.jpg
74,LB RAY Cooking Spray Olive Oil 200ml - Low Calorie 100% Oil Spray,Rs. 470,4.6 out of 5 stars,https://m.media-amazon.com/images/I/71jmBYDsm2L._AC_UL320_.jpg
75,"Silvester � Stainless Steel (with Handle) 1000 ml Cooking Oil Dispenser Oil Nozzle Dropper Container, Dust & Leak Proof Oil Bottle Pourer with Handle, Oil Pot, Vinegar Dispenser (Silver) (Pcs of 1)",Rs. 299,4.6 out of 5 stars,https://m.media-amazon.com/images/I/41gmm9VLEAL._AC_UL320_.jpg
76,"Clazkit YH-547W Silicone Iron Non-Sticky Spatula Kitchen Set for Cooking,White Color with Stripes",Rs. 206,4.5 out of 5 stars,https://m.media-amazon.com/images/I/51lIFdMVtUL._AC_UL320_.jpg
77,Qbic Set of 9PCS Children Kitchen StainlessSteel Tableware Cooking Utensil Toy for Kids(Classic),Rs. 849,3.5 out of 5 stars,https://m.media-amazon.com/images/I/51KB5E5zMFL._AC_UL320_.jpg
78,"Clazkit Premium Silicone Non-Stick Spatula and Brush with Scraper for Cooking, Baking and Mixing with Stainless Steel Core, 3-Pieces,Red,Length 21cm",Rs. 239,4.3 out of 5 stars,https://m.media-amazon.com/images/I/61qT2LFfkBL._AC_UL320_.jpg
79,"Spatlus Silicone Spatulas,Heat Resistant Non-Stick Flexible Rubber Scrapers Bakeware Tool Essential Cooking Gadget Spatula Spoon Big 27cm |Pack of 2 RED",Rs. 299,5.0 out of 5 stars,https://m.media-amazon.com/images/I/416rC5bwFaL._AC_UL320_.jpg
80,"Nirvika Handi Set Copper Bottom Handi Set/Cookware Set of 5 Pieces Without lid Cooking Serving Bowl biryani Milk Pot pan Size: 500 ML, 800 ML, 1000 ML, 1500 ML, (Copper, Stainless Steel, Non-Stick)",Rs. 549,4.0 out of 5 stars,https://m.media-amazon.com/images/I/61RoRQKpTjL._AC_UL320_.jpg
81,"The Indus Valley Neem Wood Ladles/Spatulas for Cooking/Serving - (Set of 4, Thick & Long)",Rs. 693,4.4 out of 5 stars,https://m.media-amazon.com/images/I/61IIHXzlqcL._AC_UL320_.jpg
82,"Cooking Coconut Oil , 100% Pure , Edible (5 Litre)","Rs. 1,299",4.4 out of 5 stars,https://m.media-amazon.com/images/I/71Rx7YX42HL._AC_UL320_.jpg
83,"Gnexin Heat Resistant Silicone Basting Set BBQ Barbecue Oil Brush, Pastry Brush Set for Cooking, Oil Brush for Kitchen, Cooking Oil Brush with Glass Jar(Multicolor)",Rs. 329,4.5 out of 5 stars,https://m.media-amazon.com/images/I/61FmpvVLbbL._AC_UL320_.jpg
84,CPV CRAFTS Chennai Pots Handmade Clay Mud Kadai/Handi for All Veg & Non Veg Curry Cooking Pot with Aluminum Handle 2.2 ltrs (Medium),Rs. 429,3.4 out of 5 stars,https://m.media-amazon.com/images/I/71Nbus8xqKS._AC_UL320_.jpg
85,"Wrixty Auto Flip Olive Oil Glass Bottle Leak Proof Condiment Container with Automatic Cap and Stopper, Glass Bottles for Kitchen Cooking (Transparent, 600 ml)",Rs. 409,4.2 out of 5 stars,https://m.media-amazon.com/images/I/51AzQBcLrsL._AC_UL320_.jpg
